orig_names_21,plot_name_21,orig_names,plot_name
Europe: United Kingdom: England,England,Europe: United Kingdom: England,England
Europe: United Kingdom: Northern Ireland,Northern Ireland,Europe: United Kingdom: Northern Ireland,Northern Ireland
Europe: United Kingdom: Scotland,Scotland,Europe: United Kingdom: Scotland,Scotland
Europe: United Kingdom: Wales,Wales,Europe: United Kingdom: Wales,Wales
Europe: United Kingdom: Great Britain not otherwise specified,Great Britain not otherwise specified,Europe: United Kingdom: Great Britain not otherwise specified,Great Britain not otherwise specified
Europe: United Kingdom: United Kingdom not otherwise specified,United Kingdom not otherwise specified,Europe: United Kingdom: United Kingdom not otherwise specified,United Kingdom not otherwise specified
Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,Ireland,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,Ireland
Europe: Other Europe: EU countries: Member countries in March 2001: France,France,Europe: Other Europe: EU countries: Member countries in March 2001: France,France
Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Germany
Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Italy
Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),Portugal
Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Spain,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Spain
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania
Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021: Croatia,Croatia,Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021: Croatia,Croatia
Europe: Other Europe: Rest of Europe: Turkey,Turkey,Europe: Other Europe: Rest of Europe: Turkey,Turkey
Europe: Other Europe: Rest of Europe: Other Europe,Other Europe non-EU,Europe: Other Europe: Rest of Europe: Other Europe,Other Europe non-EU
Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Other EU 2001 members,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Other EU 2001 members
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members
Africa: North Africa,North Africa,Africa: North Africa,North Africa
Africa: Central and Western Africa: Ghana,Ghana,Africa: Central and Western Africa: Ghana,Ghana
Africa: Central and Western Africa: Nigeria,Nigeria,Africa: Central and Western Africa: Nigeria,Nigeria
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa
Africa: South and Eastern Africa: Kenya,Kenya,Africa: South and Eastern Africa: Kenya,Kenya
Africa: South and Eastern Africa: Somalia,Somalia,Africa: South and Eastern Africa: Somalia,Somalia
Africa: South and Eastern Africa: South Africa,South Africa,Africa: South and Eastern Africa: South Africa,South Africa
Africa: South and Eastern Africa: Zimbabwe,Zimbabwe,Africa: South and Eastern Africa: Zimbabwe,Zimbabwe
Africa: South and Eastern Africa: Other South and Eastern Africa,Other South and Eastern Africa,Africa: South and Eastern Africa: Other South and Eastern Africa,Other South and Eastern Africa
Africa: Africa not otherwise specified,Africa not otherwise specified,Africa: Africa not otherwise specified,Africa not otherwise specified
Middle East and Asia: Middle East: Iran,Iran,Middle East and Asia: Middle East: Iran,Iran
Middle East and Asia: Middle East: Iraq,Iraq,Middle East and Asia: Middle East: Iraq,Iraq
Middle East and Asia: Middle East: Other Middle East,Other Middle East,Middle East and Asia: Middle East: Other Middle East,Other Middle East
Middle East and Asia: Eastern Asia: China,China,Middle East and Asia: Eastern Asia: China,China
Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Hong Kong,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Hong Kong
