gss_code_ward,ward_name,category,count_21
E09000001,City of London,Less than 2km,674
E09000001,City of London,2km to less than 5km,384
E09000001,City of London,5km to less than 10km,237
E09000001,City of London,10km to less than 20km,86
E09000001,City of London,20km to less than 30km,15
E09000001,City of London,30km to less than 40km,7
E09000001,City of London,40km to less than 60km,9
E09000001,City of London,60km and over,30
E09000001,City of London,Works mainly from home,3611
E09000001,City of London,"Works mainly at an offshore installation, in no fixed place, or outside the UK",309
E05014066,Northbury,Less than 2km,380
E05014066,Northbury,2km to less than 5km,530
E05014066,Northbury,5km to less than 10km,810
E05014066,Northbury,10km to less than 20km,1123
E05014066,Northbury,20km to less than 30km,229
E05014066,Northbury,30km to less than 40km,57
E05014066,Northbury,40km to less than 60km,49
E05014066,Northbury,60km and over,63
E05014066,Northbury,Works mainly from home,1176
E05014066,Northbury,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1240
E05014053,Abbey,Less than 2km,116
E05014053,Abbey,2km to less than 5km,125
E05014053,Abbey,5km to less than 10km,239
E05014053,Abbey,10km to less than 20km,361
E05014053,Abbey,20km to less than 30km,65
E05014053,Abbey,30km to less than 40km,15
E05014053,Abbey,40km to less than 60km,12
E05014053,Abbey,60km and over,20
E05014053,Abbey,Works mainly from home,598
E05014053,Abbey,"Works mainly at an offshore installation, in no fixed place, or outside the UK",318
E05014054,Alibon,Less than 2km,315
E05014054,Alibon,2km to less than 5km,580
E05014054,Alibon,5km to less than 10km,403
E05014054,Alibon,10km to less than 20km,810
E05014054,Alibon,20km to less than 30km,322
E05014054,Alibon,30km to less than 40km,52
E05014054,Alibon,40km to less than 60km,26
E05014054,Alibon,60km and over,46
E05014054,Alibon,Works mainly from home,818
E05014054,Alibon,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1080
E05014067,Parsloes,Less than 2km,495
E05014067,Parsloes,2km to less than 5km,955
E05014067,Parsloes,5km to less than 10km,689
E05014067,Parsloes,10km to less than 20km,1186
E05014067,Parsloes,20km to less than 30km,314
E05014067,Parsloes,30km to less than 40km,64
E05014067,Parsloes,40km to less than 60km,43
E05014067,Parsloes,60km and over,69
E05014067,Parsloes,Works mainly from home,1195
E05014067,Parsloes,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1561
E05014057,Becontree,Less than 2km,285
E05014057,Becontree,2km to less than 5km,717
E05014057,Becontree,5km to less than 10km,452
E05014057,Becontree,10km to less than 20km,567
E05014057,Becontree,20km to less than 30km,172
E05014057,Becontree,30km to less than 40km,40
E05014057,Becontree,40km to less than 60km,24
E05014057,Becontree,60km and over,44
E05014057,Becontree,Works mainly from home,807
E05014057,Becontree,"Works mainly at an offshore installation, in no fixed place, or outside the UK",962
E05014065,Mayesbrook,Less than 2km,300
E05014065,Mayesbrook,2km to less than 5km,951
E05014065,Mayesbrook,5km to less than 10km,852
E05014065,Mayesbrook,10km to less than 20km,1269
E05014065,Mayesbrook,20km to less than 30km,268
E05014065,Mayesbrook,30km to less than 40km,59
E05014065,Mayesbrook,40km to less than 60km,54
E05014065,Mayesbrook,60km and over,72
E05014065,Mayesbrook,Works mainly from home,1281
E05014065,Mayesbrook,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1516
E05014058,Chadwell Heath,Less than 2km,303
E05014058,Chadwell Heath,2km to less than 5km,755
E05014058,Chadwell Heath,5km to less than 10km,649
E05014058,Chadwell Heath,10km to less than 20km,845
E05014058,Chadwell Heath,20km to less than 30km,336
E05014058,Chadwell Heath,30km to less than 40km,96
E05014058,Chadwell Heath,40km to less than 60km,33
E05014058,Chadwell Heath,60km and over,54
E05014058,Chadwell Heath,Works mainly from home,1323
E05014058,Chadwell Heath,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1254
E05014059,Eastbrook & Rush Green,Less than 2km,387
E05014059,Eastbrook & Rush Green,2km to less than 5km,493
E05014059,Eastbrook & Rush Green,5km to less than 10km,374
E05014059,Eastbrook & Rush Green,10km to less than 20km,590
E05014059,Eastbrook & Rush Green,20km to less than 30km,241
E05014059,Eastbrook & Rush Green,30km to less than 40km,49
E05014059,Eastbrook & Rush Green,40km to less than 60km,17
E05014059,Eastbrook & Rush Green,60km and over,39
E05014059,Eastbrook & Rush Green,Works mainly from home,920
E05014059,Eastbrook & Rush Green,"Works mainly at an offshore installation, in no fixed place, or outside the UK",847
E05014060,Eastbury,Less than 2km,463
E05014060,Eastbury,2km to less than 5km,841
E05014060,Eastbury,5km to less than 10km,880
E05014060,Eastbury,10km to less than 20km,1243
E05014060,Eastbury,20km to less than 30km,258
E05014060,Eastbury,30km to less than 40km,70
E05014060,Eastbury,40km to less than 60km,49
E05014060,Eastbury,60km and over,83
E05014060,Eastbury,Works mainly from home,1172
E05014060,Eastbury,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1640
E05014061,Gascoigne,Less than 2km,386
E05014061,Gascoigne,2km to less than 5km,422
E05014061,Gascoigne,5km to less than 10km,656
E05014061,Gascoigne,10km to less than 20km,941
E05014061,Gascoigne,20km to less than 30km,130
E05014061,Gascoigne,30km to less than 40km,45
E05014061,Gascoigne,40km to less than 60km,28
E05014061,Gascoigne,60km and over,51
E05014061,Gascoigne,Works mainly from home,1030
E05014061,Gascoigne,"Works mainly at an offshore installation, in no fixed place, or outside the UK",875
E05014062,Goresbrook,Less than 2km,447
E05014062,Goresbrook,2km to less than 5km,709
E05014062,Goresbrook,5km to less than 10km,725
E05014062,Goresbrook,10km to less than 20km,1106
E05014062,Goresbrook,20km to less than 30km,334
E05014062,Goresbrook,30km to less than 40km,77
E05014062,Goresbrook,40km to less than 60km,34
E05014062,Goresbrook,60km and over,81
E05014062,Goresbrook,Works mainly from home,927
E05014062,Goresbrook,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1442
E05014063,Heath,Less than 2km,281
E05014063,Heath,2km to less than 5km,605
E05014063,Heath,5km to less than 10km,361
E05014063,Heath,10km to less than 20km,667
E05014063,Heath,20km to less than 30km,270
E05014063,Heath,30km to less than 40km,44
E05014063,Heath,40km to less than 60km,24
E05014063,Heath,60km and over,41
E05014063,Heath,Works mainly from home,752
E05014063,Heath,"Works mainly at an offshore installation, in no fixed place, or outside the UK",884
E05014069,Valence,Less than 2km,559
E05014069,Valence,2km to less than 5km,1059
E05014069,Valence,5km to less than 10km,690
E05014069,Valence,10km to less than 20km,995
E05014069,Valence,20km to less than 30km,292
E05014069,Valence,30km to less than 40km,74
E05014069,Valence,40km to less than 60km,25
E05014069,Valence,60km and over,78
E05014069,Valence,Works mainly from home,1128
E05014069,Valence,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1539
E05014064,Longbridge,Less than 2km,380
E05014064,Longbridge,2km to less than 5km,693
E05014064,Longbridge,5km to less than 10km,700
E05014064,Longbridge,10km to less than 20km,979
E05014064,Longbridge,20km to less than 30km,159
E05014064,Longbridge,30km to less than 40km,60
E05014064,Longbridge,40km to less than 60km,37
E05014064,Longbridge,60km and over,53
E05014064,Longbridge,Works mainly from home,1603
E05014064,Longbridge,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1202
E05014056,Beam,Less than 2km,292
E05014056,Beam,2km to less than 5km,353
E05014056,Beam,5km to less than 10km,486
E05014056,Beam,10km to less than 20km,639
E05014056,Beam,20km to less than 30km,257
E05014056,Beam,30km to less than 40km,46
E05014056,Beam,40km to less than 60km,21
E05014056,Beam,60km and over,50
E05014056,Beam,Works mainly from home,595
E05014056,Beam,"Works mainly at an offshore installation, in no fixed place, or outside the UK",814
E05014070,Village,Less than 2km,331
E05014070,Village,2km to less than 5km,640
E05014070,Village,5km to less than 10km,609
E05014070,Village,10km to less than 20km,952
E05014070,Village,20km to less than 30km,403
E05014070,Village,30km to less than 40km,75
E05014070,Village,40km to less than 60km,39
E05014070,Village,60km and over,51
E05014070,Village,Works mainly from home,1023
E05014070,Village,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1304
E05014055,Barking Riverside,Less than 2km,214
E05014055,Barking Riverside,2km to less than 5km,438
E05014055,Barking Riverside,5km to less than 10km,600
E05014055,Barking Riverside,10km to less than 20km,1001
E05014055,Barking Riverside,20km to less than 30km,180
E05014055,Barking Riverside,30km to less than 40km,50
E05014055,Barking Riverside,40km to less than 60km,30
E05014055,Barking Riverside,60km and over,43
E05014055,Barking Riverside,Works mainly from home,1128
E05014055,Barking Riverside,"Works mainly at an offshore installation, in no fixed place, or outside the UK",842
E05014068,Thames View,Less than 2km,162
E05014068,Thames View,2km to less than 5km,267
E05014068,Thames View,5km to less than 10km,301
E05014068,Thames View,10km to less than 20km,444
E05014068,Thames View,20km to less than 30km,61
E05014068,Thames View,30km to less than 40km,29
E05014068,Thames View,40km to less than 60km,24
E05014068,Thames View,60km and over,27
E05014068,Thames View,Works mainly from home,466
E05014068,Thames View,"Works mainly at an offshore installation, in no fixed place, or outside the UK",513
E05014071,Whalebone,Less than 2km,392
E05014071,Whalebone,2km to less than 5km,806
E05014071,Whalebone,5km to less than 10km,684
E05014071,Whalebone,10km to less than 20km,1107
E05014071,Whalebone,20km to less than 30km,370
E05014071,Whalebone,30km to less than 40km,70
E05014071,Whalebone,40km to less than 60km,27
E05014071,Whalebone,60km and over,58
E05014071,Whalebone,Works mainly from home,1610
E05014071,Whalebone,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1380
E05013629,Brunswick Park,Less than 2km,480
E05013629,Brunswick Park,2km to less than 5km,763
E05013629,Brunswick Park,5km to less than 10km,890
E05013629,Brunswick Park,10km to less than 20km,996
E05013629,Brunswick Park,20km to less than 30km,87
E05013629,Brunswick Park,30km to less than 40km,29
E05013629,Brunswick Park,40km to less than 60km,20
E05013629,Brunswick Park,60km and over,42
E05013629,Brunswick Park,Works mainly from home,3209
E05013629,Brunswick Park,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1223
E05013635,East Barnet,Less than 2km,505
